RFID,Site,Notes
0700EDC89F,L,juv
0700EDFEE5,L,nestling from Box 12 L 2017
0700EE3CB7,L,nestling from Box 66 L 2016
0700EDB5B8,L,nestling from Box 51-1 L 2017
0700EE41CF,L,caught with 0700EDF80E
0700EDF80E,L,juv
0700EE39D0,L,dispers; nestling from Box 55-10 L 2017
0700EDEA4C,L,nestling from Box 68 L 2017
0700EE38DF,L,nestling from Box 51-1 L 2017;paired w/ 0700EDE0C0
0700ED97C0,L,nestling from Box 39-2 L 2017
0700EDE0C0,L,nestling from Box 26 L 2017;paired w/ 0700EE38DF; pics and feather taken 2018
0700EE4012,L,nestling from Box 31 L 2017
0700ED920A,L,small blood sample
0700EE394B,L,JUV
0700EDCA3E,L,JUV
0700EDC70B,L,JUV
0700EE1F4A,L,ADULT; pics and feathers taken 2018
0700EDA3E9,L,JUV
0700ED8EF0,L,JUV
0700ED8938,L,JUV
0700EDF25C,L,JUV
030002682E,L,JUV
0700EDE03F,L,JUV
0700EDF043,L,JUV
0700EDC09E,L,nestling from Box 15 L 2017
0700EE1C45,L,JUV
0700EDF8F4,L,JUV
0700EDE963,L,JUV
0700ED9496,L,JUV
0700EDE24E,L,JUV
0700EE4500,L,JUV
0700EDAE4D,L,S banded as chick Box 39-2 L in 2017;JUV
0700EDD698,L,JUV
0700EE0ED1,L,JUV
0700ED8BB7,L,JUV
0700EE3937,L,JUV; check color bands - may be duplicate Black/Grey (color band corrected) 
0700EDD973,L,JUV
0700EE29BB,L,JUV
0700EDE28D,L,very little blood
0700EDFD5D,L,Nestling from Box 51-1 2017
0700ED85C7,L,JUV
0700EE38F7,L,nestling from IF5 L 2016
0700ED8EAF,L,pics and tail collected 2018
0700EDB4A7,L,Nestling from Box 77 L 2016
0700EE15DA,L,Nestling from Box 96 L 2017
0700EDA42A,L,Nestling from BOX 19 L 2017
011017A471,L,Nestling from BOX 55-1L 2018;Pics and feathers taken
0700EE064F,L,Pics and feathers taken 2018.
0700EDBA48,L,Nestling from BOX 37-3 2018
0700EE2785,L,Pics and feathers taken 2018.
0700EE1028,L,Pics and feathers taken 2018.
0700EDB8E5,L,pic and feathers taken 2018.
0700EE316C,L,Pics and feathers taken 2018.
0700EDF6D7,L,Pics and feathers taken 2018.
011017A588,L,nestling from BOX 19 L 2017;pics and feathers taken 2018
0700EE2A71,L,Pics and feathers taken 2018.
0700EE199E,L,Pics and feathers taken 2018.+O629
0300028FB7,L,Pics and feathers taken 2018.
01101799F1,L,Nestling from BOX 37-3 L 2018;Pics and feathers taken 2018.
0300020B16,L,pic and feathers taken 2018.
01101742F9,L,Nestling from BOX 43-1 L 2018;Tail feather taken 2018 and 2019
01101714A5,L,Nestling from BOX 39-2 L 2018;tail feather taken
0300030A60,L,no blood; tail feather taken 2019
030002477D,L,no blood; tail feather taken 2019
0700EDBE68,L,no blood; tail feather taken 2019
011017388B,L,Nestling from BOX 69-1L 2018;tail feather taken
0110170546,L,no blood; tail feather taken 2019
0110172821,L,no blood; tail feather taken 2019
0700ED8D57,L,little blood; tail feather taken 2019
0110170208,L,no blood; tail feather taken 2019
0110170075,L,no blood; tail feather taken 2019
0700EE20E9,L,no blood; tail feather taken 2019
0700EE05C2,L,no blood; tail feather taken 2019
0700EE0A0D,L,tail taken 2019
030002EBD8,L,Nestling from BOX 32-1AL 2018
0700EE4554,L,CARRIE HAS PIT
0700EDDFBD,L,male in box 93 in 2019 PIT 0700EDFF57
01101748AB,L,Nestling from BOX 56 L 2017
0110170FD3,L,Nestling from BOX 29-6 L 2018
0700EDC2B6,L,female in very poor condition upon capture
01101708F1,L,Nestling from BOX 16 L 2018
011016FF71,L,Nestling from BOX 61-2 L 2018
0700EDF10F,L,small blood sample
011017055D,L,Nestling from BOX 58-3 L 2018
0110170E08,L,Nestling from BOX 61-2 L 2017
0700EDE859,L,"giant hematoma
0110173676,L,Nestling from BOX 96 L 2017;individual from natural nest on chickadee highway
01101797BD,L,Nestling from Box 48 L 2016
011016D578,L,Silver band not in our database
011016E703,L,Nestling from BOX 25-1 L 2018
0700EE2678,L,possible pox on legs but banded normally
011016CD90,L,Nestling from BOX 41 L 2019;Tail feather taken
0700EDCDC7,L,tail feather taken
0700EDDF62,L,tail feather taken
0700EDF09A,L,tail feather taken
011016A4BD,L,Nestling from BOX 65-1 L 2019;tail feather taken
011016BEBF,L,Nestling from BOX 29-6 L 2019;tail feather taken
0700EE14C4,L,tail feather taken
01101737DE,L,Nestling from BOX 25-2 L 2019;tail feather taken
0700EDC93F,L,tail feather taken
0700EE4151,L,tail feather taken
0700EE4389,L,tail feather taken
0700EE38F8,L,tail feather taken
0110174446,L,tail feather taken
0110171D74,L,tail feather taken
011016E679,L,tail feather taken
01103F64D5,L,tail feather taken
01101725E4,L,tail feather taken
0110174555,L,tail feather taken
0110171B08,L,tail feather taken
0110170872,L,tail feather taken
0110170E0D,L,tail feather taken
0110172135,L,tail feather taken
0110172261,L,"tail feather taken
011016D1D9,L,Nestling from BOX 15 L 2019;"tail feather taken
01101748F6,L,feather taken 2019
0110171F68,L,"difficulty flying
011016CA68,L,Nestling from Box 80 L 2019;tail feather taken 2019
01101739AF,L,tail taken 2019
0110173A92,L,tail taken 2019
0110171A50,L,Nestling from BOX 83 L 2018
01101740E0,L,tail taken 2019
0110171B47,L,tail taken
0110172D33,L,tail taken
01101732F7,L,tail taken
0110170D2E,L,tail taken
0110173F2F,L,tail taken
011016DF09,L,Nestling from BOX 8 L 2019
01101721D1,L,tail taken
0110174BBB,L,Nestling from BOX 22-3 L 2019;tail taken
