Date,Site,Feeder,RFID,ColorBands,SilverBands,Sex,WingLength,Mass,BID,Maturity
1/1/2015,H,F1H,0700EE101D,LG/R;RPT,,,70,11.95,,
1/1/2015,H,F3H,0700EDC61E,GPT;_,,M,69,12.56,H286; H678; H769,
1/1/2015,H,F1H,0700EDBA30,RPT;Black/R,,F,65,11.35,H223,
1/1/2015,H,F3H,030003315D,RPT;Blue/Black,,M,71,,H260,
1/1/2015,H,F1H,0700ED87E0,RPT;LB/R,,M,70.5,11.46,H45; H377,
1/1/2015,H,F1H,0700ED9204,RPT;LG/R,,,70,12.52,,
1/1/2015,H,F1H,030002B8FF,RPT;Y/R,,M,71,12.75,H496; H706,
1/1/2015,H,F1H,0700ED9A1A,RPT;O/R,,F,66.5,11.2,,
1/1/2015,H,F1H,0300038EB7,RPT;Grey/R,,,68,10.88,,
1/1/2015,H,F1H,0300020A3F,RPT;G/R,,,69,11.25,,
1/1/2015,H,F3H,0700EE1B2F,RPT;Blue/LB,,M,74,,H386,
1/1/2015,H,F3H,030002DFC6,RPT;Blue/G,,F,66,,,
1/1/2015,H,F3H,0700EDE992,RPT;Blue/LG,,,68.5,,,
1/1/2015,H,F3H,030003824B,Y/R;RPT,,,70,12.65,,
1/9/2015,H,F3H,0300032182,Blue/Black;RPT,,F,65,,,
1/9/2015,H,F3H,0700ED9EB2,Blue/G;RPT,,,71.5,,,
1/9/2015,H,F3H,030003ACEE,Blue/LB;RPT,,,71,,,
1/9/2015,H,F3H,03000214A1,Blue/Y;RPT,,F,65,,,
1/9/2015,H,F3H,030003142F,PURPLEPT;_,,,71,,,
1/9/2015,H,F3H,030002E401,RPT;Blue/Y,,,71.5,,,
1/9/2015,H,F3H,0300025603,RPT;Blue/Grey,,,67.5,,H371,
1/9/2015,H,F3H,0300022A87,RPT;Blue/O,,,72,,,
1/9/2015,H,F3H,0700EDDD15,R/S2720-43454;BLUEPT,2720-43454,,71,,,adult
1/9/2015,H,F3H,0700EE0988,S2720-43456/R;BLUEPT,2720-43456,M,71,,H103,adult
3/21/2015,H,F3H,030001E59A,Blue/Grey;RPT,,F,69.5,12.27,H336,
3/21/2015,H,F3H,03000336E9,Blue/O;RPT,,,72,12.74,,
3/21/2015,H,F3H,0700EE2010,Blue/Y;RPT,,F,67,,,
6/18/2015,H,BOX B11 H,030002F09C,RPT;LG/Blue,,F,69,,H47,adult
6/18/2015,H,BOX B30 H,03000241BF,RPT;LB/Blue,,F,65.5,,H61,adult
6/18/2015,H,BOX B30 H,0700EE429E,RPT;G/Blue,,M,71,,H62,adult
6/23/2015,H,BOX B5-1 H,030003A2AF,RPT;Y/Blue,,F,66,,H46,adult
6/24/2015,H,BOX 13 H,030002434A,Black/Blue;RPT,,F,66,,H50,adult
6/24/2015,H,BOX 7 H,0700EE085D,G/Blue;RPT,,F,69,,H52,adult
6/24/2015,H,BOX 7 H,0700EDFA13,LB/Blue;RPT,,M,73,,H51,adult
6/24/2015,H,BOX 33_4 H,0700EDDE2F,LG/Blue;RPT,,M,74,,H53,adult
6/24/2015,H,BOX 1 H,0700EDF8A1,RPT;O/Blue,,F,65.5,,H48,adult
6/24/2015,H,BOX 4A H,0300026CA0,RPT;Grey/Blue,,F,67,,H49; H691,adult
6/24/2015,H,BOX 33_4 H,0300019F10,Y/Blue;RPT,,F,67,,H60,adult
6/26/2015,H,BOX 14 H,0300034DB4,Grey/Blue;RPT,,F,69,,H64,adult
6/26/2015,H,BOX 14 H,0700EE3582,O/Blue;RPT,,M,70,,H63; H816,adult
6/26/2015,H,BOX 12A H,030001EA7A,RPT;G/LB,,M,71,,H66,adult
6/26/2015,H,BOX 12A H,0700EE3BE9,RPT;G/LG,,F,71,,H67,adult
6/26/2015,H,BOX 8A H,0700EE0D2C,RPT;G/Black,,M,70,,H68,adult
6/26/2015,H,BOX 8A H,0700EDB659,RPT;G/O,,F,65,,H76,adult
6/26/2015,H,BOX 22_1 H,0300023011,R/S2540-39410;YPT,2540-39410,F,67,,H65; H383,adult
6/28/2015,H,BOX 18_2 H,0700EE03DE,G/Black;RPT,,F,70,,H81,adult
6/28/2015,H,BOX B16_1 H,0300027217,G/LB;RPT,,F,70,,H80; H630,adult
6/28/2015,H,BOX B16_1 H,030002BF3A,G/LG;RPT,,M,72,,H79,adult
6/28/2015,H,BOX B2 H,0300036594,RPT;G/Y,,F,68,,H77,adult
6/28/2015,H,BOX B12 H,030003371B,RPT;G/Grey,,M,68.5,,H78,adult
6/29/2015,H,BOX 27 H,030001E144,G/Grey;RPT,,F,68.5,,H102,adult
6/29/2015,H,BOX 17_2 H,030002A9C9,G/O;RPT,,F,69,,H100,adult
6/29/2015,H,BOX 17_3 H,0300023A64,G/Y;RPT,,F,69,,H101,adult
6/30/2015,H,BOX B32 H,0700EE42A0,RPT;LG/G,,F,69,,H122,adult
6/30/2015,H,BOX B32 H,0700ED8DFA,RPT;LB/G,,M,70,,H123,adult
6/30/2015,H,BOX B26 H,0300023498,RPT;Black/G,,F,69,,H124,adult
6/30/2015,H,BOX 43_2 H,0700EDF8BA,RPT;O/G,,F,71,,H125,adult
6/30/2015,H,BOX 22 H,030001DB5E,RPT;Y/G,,M,68,,H126,adult
6/30/2015,H,BOX B12 H,030003384A,RPT;Grey/G,,F,69.5,,H127,adult
7/1/2015,H,BOX 6 H,030003BA94,Black/G;RPT,,F,68.5,,H155,adult
7/1/2015,H,BOX 41 H,0700EE0945,Grey/G;RPT,,M,69,,H158,adult
7/1/2015,H,BOX B28 H,0700EDFF9E,LB/G;RPT,,F,65.5,,H154,adult
7/1/2015,H,BOX B28 H,0300022B1E,LG/G;RPT,,M,71,,H153,adult
7/1/2015,H,BOX 43_2 H,0700EDB6EA,O/G;RPT,,M,71,,H156,adult
7/1/2015,H,BOX 22 H,030001A0E8,Y/G;RPT,,F,67,,H157; H815,adult
7/2/2015,H,BOX B18 H,030001ED44,LG/LG;RPT,,F,69,,H172,adult
7/2/2015,H,BOX 32 H,03000223AD,RPT;LG/LB,,F,70,,H174,adult
7/2/2015,H,BOX B18 H,0700EDEFA0,S2540-39384/Y;RPT,2540-39384,M,72,,H173; H803,adult
7/2/2015,H,BOX 21 H,030002A7B9,S2540-39409/O;RPT,2540-39409,M,70,,H175,adult
7/4/2015,H,BOX 32 H,0700EDD584,RPT;LG/O,,M,71,,H221,adult
7/4/2015,H,BOX 10A H,0700EDAEC2,RPT;LG/Grey,,M,69,,H222,adult
7/4/2015,H,BOX 10A H,0700EE3490,RPT;LG/Y,,F,69,,H224,adult
7/4/2015,H,BOX 19A H,0700EE2818,S2540-39427/R;YPT,2540-39427,M,70,,H225,adult
7/5/2015,H,BOX 19A H,0700EDF133,LG/LB;RPT,,F,67,,H226,adult
7/6/2015,H,BOX 33 H,0700EE2255,LG/Black;RPT,,F,71.5,,H239,adult
7/6/2015,H,BOX 35 H,0700ED8E2B,LG/O;RPT,,M,72.5,,H240,adult
7/6/2015,H,BOX 33 H,0700EDE52B,RPT;Y/S2440-29336,2440-29336,M,71.5,,H238,adult
7/7/2015,H,STUMP NEST H,0700EDC3CB,LG/Grey;RPT,,M,73.5,,H259,adult
7/7/2015,H,BOX 34 H,0700EDA11E,LG/Y;RPT,,F,66,,H284; H773,adult
7/7/2015,H,BOX 38 H,0700EE2926,RPT;LB/LG,,F,70.5,,H261,adult
7/8/2015,H,BOX 29 H,0700EDBDD9,RPT;Black/LG,,F,69,,H285,adult
7/13/2015,H,BOX 36 H,0700EDA7DC,RPT;O/LG,,M,70,,H317,adult
8/21/2015,H,F3H,0700EE34A2,Black/LG;RPT,,M,67,11.67,H337,adult
8/21/2015,H,F1H,0700EE2DC4,LB/LG;RPT,,F,67,10.33,H335,juv
8/21/2015,H,F1H,0700EDEE35,RPT;Y/LG,,,70,12.04,H332,juv
8/21/2015,H,F1H,0700EDDE6B,RPT;Grey/LG,,M,72,12.3,H333,adult
8/28/2015,H,F3H,0700ED8B2A,Blue/S2740-25271;RPT,2740-25271,,69,10.9,H341,juv
8/28/2015,H,F3H,0700EDCA23,RPT;Y/LB,,,69,11.59,H338,juv
8/28/2015,H,F4H,0700EE33B0,RPT;Y/Black,,,70,10.4,H339,juv
8/28/2015,H,F3H,0700EDEA8D,RPT;Y/O,,M,74.5,12.67,H340,adult
9/7/2015,H,F1H,0700EE279F,Black/Y;RPT,,,70,13.07,H359,juv
9/7/2015,H,F1H,0700EE32F3,Grey/Y;RPT,,,71,11.38,H361,adult
9/7/2015,H,F5H,0700EDB014,Grey/Y;RPT,,,71,11.53,H362,juv
9/7/2015,H,F3H,0700EDC234,LB/Y;RPT,,,70,10.36,H358,adult
9/7/2015,H,F3H,0700EDE18E,O/LB;RPT,,,70,11.65,H367,juv
9/7/2015,H,F1H,0700EE3795,O/Y;RPT,,F,66.5,11.77,H360,juv
9/7/2015,H,F5H,0700EDA4FD,RPT;Y/Grey,,F,67,12.22,H345,juv
9/7/2015,H,F1H,0700EDBC15,RPT;LB/Y,,,68.5,11.07,H351,juv
9/7/2015,H,F5H,0700EDB060,RPT;Black/Y,,F,70,11.26,H353,adult
9/7/2015,H,F4H,0700EE2A8F,RPT;O/Y,,M,75,11.96,H355,adult
9/7/2015,H,F4H,0700EE2B86,RPT;Grey/Y,,,67.5,11.15,H356,
9/7/2015,H,F5H,0700EDE6F8,RPT;O/LB,,F,65,11.47,H363,adult
9/7/2015,H,F1H,0700EE15A1,RPT;O/Black,,,70.5,11.79,H364,adult
9/7/2015,H,F4H,0700EE0D9E,RPT;O/Grey,,,69,11.43,H366,adult
9/7/2015,H,F5H,0700EDD0DB,R/S2740-25205;GreyPT,2740-25205,,72,11.59,H354,juv
9/7/2015,H,F3H,0700EDFEDD,R/S2740-25211;BlackPT,2740-25211,F,65.5,10.03,H357,juv
9/7/2015,H,F2H,0700EDDA56,S2740-25433;GreyPT,2740-25433,,70,11.41,H352,juv
9/7/2015,H,F4H,0700EDF72F,Y/Black;RPT,,,70,11.8,H347,juv
9/7/2015,H,F1H,0700EDF523,Y/Grey;RPT,,F,67,10.78,H350,juv
9/7/2015,H,F4H,0700EE1D05,Y/LB;RPT,,M,74,12.45,H346,adult
9/7/2015,H,F1H,0700EDD70A,Y/O;RPT,,,71.5,10.45,H349,adult
9/11/2015,H,F2H,0700EDC317,O/Black;RPT,,,70,12.43,H370,juv
9/11/2015,H,F3H,0700ED8EA0,O/Grey;RPT,,M,73,12.11,H373,juv
9/11/2015,H,F5H,0700EDEF65,O/Grey;RPT,,,70.5,11.23,H376,adult
9/11/2015,H,F4H,0700EE0389,RPT;LB/O,,,70,11.56,H378,
9/11/2015,H,F4H,0700EE22CA,RPT;Black/O,,,69,11.16,H379,adult
9/11/2015,H,F2H,0700ED8CFC,RPT;Grey/O,,F,67,11.63,H380,juv
9/11/2015,H,F5H,0700EDFC56,S2740-25258/R;BlackPT,2740-25258,M,73,12.31,H375,juv
9/21/2015,H,F6H,0700EDA539,Black/O;RPT,,,69,12.3,H382,juv
9/21/2015,H,F2H,0700EDE2C7,Grey/O;RPT,,,69.5,11.88,H384,juv
9/21/2015,H,F2H,0700EDE73A,LB/O;RPT,,F,68,12.12,H381,adult
9/21/2015,H,F2H,0700EE124B,RPT;LB/Black,,F,66,11.35,H385,juv
10/2/2015,H,F6H,0700EDDBF7,RPT;LB/Black,,,71,11.77,H388,juv
10/7/2015,H,F2H,0700EDDC13,Black/LB;RPT,,,70.5,12.33,H392,juv
10/7/2015,H,F3H,0700EDD008,LB/Black;RPT,,,71.5,11.97,H390,juv
10/7/2015,H,F4H,0700EDB530,LB/Grey;RPT,,,70.5,11.16,H391,
10/7/2015,H,F2H,0700EE17A2,RPT;LB/Grey,,,68.5,10.7,H389,adult
10/7/2015,H,F1H,0700ED99E7,S2740-25380/W;RPT,2740-25380,,69,11.89,H394,juv
10/7/2015,H,F3H,0700EDB0B1,S2740-25442;PURPLEPT,2740-25442,,68.5,12.57,H395,juv
10/30/2015,H,F1H,0700EE4360,Black/Grey;RPT,,M,73,12.29,H402,
10/30/2015,H,F1H,0700EDE177,Grey/Black;RPT,,F,72,11.78,H401,
10/30/2015,H,F4H,0700EDB9DA,Grey/LB;RPT,,,70.5,11.86,H397,
10/30/2015,H,F1H,0700EE1FD2,RPT;Grey/LB,,M,74.5,11.85,H396,
10/30/2015,H,F3H,0700EDFB86,RPT;Grey/Black,,M,74.5,11.82,H398,
10/30/2015,H,F3H,0700EDBF75,RPT;W/Black,,M,75,11.34,H399,
10/30/2015,H,F5H,0700EDAD5E,RPT;Black/Grey,,,71,11.37,H400,
11/4/2015,H,F8H,0700EE3FC8,YPT;R,,,70,,,
11/4/2015,H,F1H,0700EDAC35,YPT;R/R,,,69,,,adult
11/4/2015,H,F7H,0700EDAEBA,YPT;R/O,,,72,,,juv
11/4/2015,H,F7H,0700EE1AE8,YPT;R/Y,,,72,,,adult
11/4/2015,H,F7H,0700EE452C,YPT;R/Blue,,M,73,,,juv
11/4/2015,H,F1H,0700EE1435,YPT;R/LB,,,68,,,juv
11/4/2015,H,F1H,0700EDF2B7,YPT;R/G,,,70,,,adult
11/4/2015,H,F7H,0700EDFB4E,YPT;R/Black,,,71,,,
11/6/2015,H,F3H,0700EDB409,Black/R;YPT,,,71,,,
11/6/2015,H,F3H,0700EDAB25,Blue/R;YPT,,,70,,,juv
11/6/2015,H,F3H,0700ED860D,G/R;YPT,,M,74,,,juv
11/6/2015,H,F3H,0700EE15A3,Grey/R;YPT,,,71,,,
11/6/2015,H,F3H,0700EDBFD5,LB/R;YPT,,,69.5,,,
11/6/2015,H,F3H,0700EE2640,O/R;YPT,,,68,,,
11/6/2015,H,F5H,0700EDB878,PURPLEPT;S2740-25241,2740-25241,F,70,,H774,juv
11/6/2015,H,F3H,0700EE39B9,R;YPT,,F,65,,,juv
11/6/2015,H,F3H,0700EDB484,R/Black;YPT,,,71,,,
11/6/2015,H,F4H,0700EE1981,R/Blue;YPT,,F,66,,,
11/6/2015,H,F3H,0700EDF31F,R/G;YPT,,,71,,,
11/6/2015,H,F3H,0700EE4575,R/Grey;YPT,,,72,,,adult
11/6/2015,H,F4H,0700EDFEC0,R/LB;YPT,,,69,,,
