Site,RFID Date,ColorBands,SilverBands,RFIDold,RFIDnew,Mass,WingLength,BloodSample,Feeder,Sex,MaturityTOIC,KnownHistory,Notes,Recap from pre-2015,Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
H,9/5/2014,RPT;O,,0700EE1431,,12.5,70.5,H15,F5H,M,,,,,,BOX 40 H,,BOX 41 H,,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,,,
H,9/5/2014,RPT;G,,0700EDF259,,12.15,69.5,H8,F3H,F,,,,,,,,BOX 25 H?,BOX 24 H,N,N,N,Y,N,N,N,N,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,,,Y - F4H 11/12/14
H,9/5/2014,RPT;LB,,0700EE3300,,,69,NA,F4H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/5/2014,W/S2720-43461;RPT,2720-43461,0700EE0514,,12.36,72.5,SHH_135; H160,F4H,M,adult,originally banded on 11/30/13 at F4H ,,Y - formerly S; R/Y ,,,,,BOX 26 H,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,,
H,9/5/2014,Y;RPT,,0700EE1A2B,,11.27,70,NA,F2H,,adult,,adult; was badly tangled,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/12/2014,RPT;R/R,,0700EE26F2,,,,H23,F5H,F,adult,,adult,,,,,,BOX 38 H,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,9/12/2014,RPT;G/G,,0700EE2D20,,11.96,74.5,H24,F5H,M,adult,,adult,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/19/2014,RPT;Blue/Blue,,0700EDFED4,,11.6,69,H26,F1H,F,,,Detected at LOW and HIGH F2014/W15,,,,,,BOX 5 H,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,9/19/2014,RPT;Black/Black,,030002A624,,13.36,69.5,H27,F5H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,9/19/2014,R/S2720-43445;YPT,2720-43445,030001F885,0700EE2693,13.04,71,H25; H805,F1H,M,adult,S banded 2013 F1H,DUPLICATE COLOR CODE; Detected at LOW and HIGH F2014/W15,Y,BOX 10 H,BOX 10 H,,BOX 7 H,BOX 5 H,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,F2H 11/29,,,
H,11/5/2014,Black/Black;RPT,,0700EDA35E,,11.74,70.5,H35,F2H,F,adult,,adult F,,,,,,,N,N,N,N,N,N,N,N,Y,Y,,,,,,,Y-F2H 9/21/15,
H,11/5/2014,Blue/Blue;RPT,,0300025F50,,12,70.5,H34,F2H,M,,,Detected at LOW and HIGH F2014/W15,,,BOX B9 H,BOX B5-1 H; BOX B9 H,BOX B5-1 H,BOX B11 H,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,,Y-F2H 12/30/2016,,
H,11/5/2014,RPT;LG/LG,,0700ED9EEE,,11.93,68,H28; H334,F1H,,,,pair with RED PT; LB/LB at time of first capture; acted strange and limp but flew well; Detected LOW and HIGH F2014/W15,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,Y-F1H 8/21/15,Y - F1H 12/28/14
H,11/5/2014,RPT;LB/LB,,03000208C0,,11.28,68,H29,F1H,,,,pair with RED PT; LG/LG at time of first capture; took 5 min to fly away. Present LEAR 8 April 2016. Detected at LOW and HIGH F2014/W15; Recaptured 8/21/15 with R PT; Grey/LG (0700EDDE6B),,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,Y-HEAR 1; LEAR 3,Y-HEAR 1,,,,,,Y -  F1H 1/1/15
H,11/5/2014,RPT;Y/Y,,0300025985,,11.95,71.5,H30,F1H,,,,Detected at LOW and HIGH F2014/W15,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,11/5/2014,RPT;O/O,,0300019589,,11.23,71,H31; H393,F1H,M,,,pair with red pt; grey/grey at time of first capture,,,,,,BOX 1 H,N,N,N,Y,N,N,N,N,Y,Y,,,,,,,Y - F1H 10/7,
H,11/5/2014,RPT;Grey/Grey,,0700EDD03A,,11.66,71,H32,F1H,,,,pair with red pt; o/o at time of first capture; Detected at LOW and HIGH F2014/W15,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,Y - F2H 11/12/14; F1H 1/1/15 
H,11/5/2014,R/R;RPT,,030001D152,,11.91,71.5,H33; H365; H644,F2H,M,adult,,,Y - formerly LG; R,,,BOX 5A H,BOX 4A H,BOX 6 H,N,N,Y,Y,N,N,N,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,F1 H; 8/15,,Y-F1H 9/7/15,
H,11/12/2014,G/G;RPT,,0700EE3D42,,10.67,70,H37,F6H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,11/12/2014,S2540-39407/R;RPT,2540-39407,030003735A,,12.93,74,H36,F5H,M,adult,S banded as chick 2013 from box 11,,,,,BOX 34 H,BOX 34 H,BOX 34 H,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 3,,,,Y- 11/21/2016 F3H,,
H,11/12/2014,S2740-25025/G;RPT,2740-25025,03000317F8,,12.28,71.5,none,F3H,,juv,S Banded as chick 2014  from box 41,,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,11/17/2014,LB/LB;RPT,,030002F6A9,,11.35,69,H39,F8H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,11/17/2014,LG/LG;RPT,,0300026EA2,,12.4,74,H38,F7H,M,,,DUPLICATE COLOR CODE,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,Y - F7H 11/26/14
H,11/26/2014,Grey/Grey;RPT,,0300019B2E,,11.06,70,H42,F7H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,11/26/2014,O/O;RPT,,0700EE2AD9,,11.34,70,H41,F7H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,11/26/2014,RPT;R/Black,,0700EE0863,,11.66,67.5,H44; H369,F1H,M,adult,,Detected at LOW and HIGH arrays F2014/W15,,,,,,BOX 4 H,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,Y-F2H 9/11/15,
H,11/26/2014,RPT;R/Blue,,0700EE0384,,10.8,68,,F3H,,,,KILLED LATE 2015,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,,
H,11/26/2014,Y/Y;RPT,,030001F664,0700EDD82A,12.5,73,H40; H387; H814,F2H,M,,,,,BOX 5 H,BOX 5-2 H,BOX 6 H,BOX 15 H,,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,F1H 11/17,,Y - F2H 10/2; F1H 10/30,
H,12/22/2014,RPT;R/G,,0700EDE8C0,,11.92,69,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,Y-F4H? 11/6,
H,12/22/2014,RPT;R/LB,,0700EE0EC4,,12.38,67,,F3H,F,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,12/22/2014,RPT;R/LG,,0700ED8AF6,,11.38,68,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,Y - F3H 3/21/15
H,12/22/2014,RPT;R/O,,0700EE2030,,12.4,69,,F3H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,12/22/2014,RPT;R/Y,,0700EE40D6,,11.32,66,,F3H,F,,,,,,,,BOX 26 H,,N,N,N,Y,Y,N,N,N,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,,,
H,12/22/2014,RPT;R/Grey,,0700EDF35F,,11.62,69,H344; H368,F3H,F,,,,,,,BOX 20A H,BOX 18-3 H,,N,N,Y,Y,Y,N,N,Y,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 1; HEAR 3,,,,,Y-F1H 9/2/15; F5H 9/7/15,
H,12/22/2014,R/Black;RPT,,0700EDBA2B,,11.77,67,H159,F3H,F,,,Broken toe nail (on recap 10/30/15),,,,,,BOX 26 H,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,Y-F4H 10/30/15,
H,12/22/2014,R/Blue;RPT,,0700EDA565,,12.89,73,H372,F3H,M,,,,,,,,BOX 18-3 H,,N,N,N,Y,Y,N,N,N,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 3,,,,,Y-F3H 9/11/15,
H,12/22/2014,R/G;RPT,,0700EDD1CE,,12,70,,F3H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,12/22/2014,R/LG;RPT,,0700EE16FB,,12.56,72,H342,F3H,,,,,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F3H 8/28/15; F4H 10/30,
H,12/28/2014,RPT;Blue/R,,0700EE0490,,11.83,71,,F1H,,,,Recap w/ Y PT; R (0700EE3FC8) 11/4/15,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F8H 11/4/15,
H,12/28/2014,R/Grey;RPT,,0700EE0F9F,,11.26,67,,F1H,F,,,,,,,,,,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,,
H,12/28/2014,R/LB;RPT,,0700EE4484,,12.1,70,,F1H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,12/28/2014,R/O;RPT,,03000346D4,,12.98,71,,F1H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,12/28/2014,R/Y;RPT,,0300026637,,10.61,67,,F1H,F,,,,,,,,,,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,,
H,1/1/2015,Black/R;RPT,,0700EDDCC6,,12.54,73,,F1H,M,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,Y-F1H 11/11,
H,1/1/2015,Blue/R;RPT,,0700EDFFE1,,13.56,75.5,H199,F1H,M,,,,,,,,,BOX 13 H,N,N,Y,N,N,Y,Y,Y,N,Y,,,,,,,,
H,1/1/2015,G/R;RPT,,0700EDA894,,12.73,69,,F1H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/1/2015,Grey/R;RPT,,0700ED8660,,,70,H613,F3H,M,,,,,,,,BOX 20 H,,N,N,Y,Y,Y,N,N,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,Y- F4H 11/24/2016; F3H 22/12/2016,,
H,1/1/2015,LB/R;RPT,,0700ED8DFB,,12.63,70,,F3H,,,,,,,,,,,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/1/2015,LG/R;RPT,,0700EE101D,,11.95,70,,F1H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/1/2015,GPT;_,,0700EDC61E,011017A7DF,12.56,69,H286; H678; H769,F3H,M,,,Stumpy! Removed PIT tag; new RFID 011017A7DF. Stumpy lives! PIT tag previously removed due to injury; NEW PIT placed on healthy leg and old color bands removed -- Jan 2018,,BOX 43-2 H,BOX 43-2 H,BOX 21-1 H,BOX 22-1 H,BOX 29 H,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,F4H 9/8,Y-F4H 11/21/2016; F3H 11/30/2016,,
H,1/1/2015,RPT;Black/R,,0700EDBA30,,11.35,65,H223,F1H,F,,,,,,,,,BOX 4 H,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/1/2015,RPT;Blue/Black,,030003315D,,,71,H260,F3H,M,,,,,,,,,BOX 38 H,N,N,N,N,Y,N,N,N,N,Y,,,,,,,,
H,1/1/2015,RPT;LB/R,,0700ED87E0,,11.46,70.5,H45; H377,F1H,M,,,pair w R PT; LG/R? at time of first capture,,,,,,BOX B5-1,N,N,N,Y,Y,N,N,N,Y,Y,,,,,,,Y-F1H 9/11/15; F1H 10/30/15,
H,1/1/2015,RPT;LG/R,,0700ED9204,,12.52,70,,F1H,,,,pair w R PT; LB/R at time of first capture,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,1/1/2015,RPT;Y/R,,030002B8FF,,12.75,71,H496; H706,F1H,M,,,,,BOX 8A H,BOX 4A H,BOX 7 H,BOX 4 H,,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,F2H 9/15; F2H 11/24,,,
H,1/1/2015,RPT;O/R,,0700ED9A1A,,11.2,66.5,,F1H,F,,,,,,,,BOX 9A H,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/1/2015,RPT;Grey/R,,0300038EB7,,10.88,68,,F1H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,,,,,,,,
H,1/1/2015,RPT;G/R,,0300020A3F,,11.25,69,,F1H,,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
H,1/1/2015,RPT;Blue/LB,,0700EE1B2F,,,74,H386,F3H,M,,,,,,,,,,N,N,N,N,Y,N,N,N,Y,Y,,,,,,,Y - F3H 10/2,
H,1/1/2015,RPT;Blue/G,,030002DFC6,,,66,,F3H,F,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,,,,,,,,
