Site,RFID Date,Julian RFID,Time,LEFT,RIGHT,RFID,OLD RFID,Mass (g),Wing Length,Blood sample,Feeder,Sex,Maturity at TOIC,Known history,Notes,Recap from pre-2015, Breeding 2019,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Tested F18_W19,Tested F17_W18,Tested F16_W17,Tested F15_W16,Tested F14_W15,Detected F18_W19,Detected F17_W18,Detected F16_W17,Detected F15_W16,Detected F14_W15,Detected April_16,Detected May_16,Recap F19-20,Recap F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15
L,1/27/2017,,,O/B,BLACK PT,0700EDCFBE,,,71,"L699, L878",F3L,F,,,,,BOX 9 L,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/LB,BLACK PT,0700ED941D,,,72,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,BLUE PT,S2740-25617/B,0700EDD5D2,,,68,,F8L,,juv,Nestling from Box 48 L 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/G,BLACK PT,0700ED9FF7,,,68,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/W,BLACK PT,0700EDBE83,,,68,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/Y,BLACK PT,0700EDE789,,,69,,F8L,,,,Bad toe on R leg,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,S2740-25848,GREEN PT,0700ED9457,,,66,,F8L,F,juv,Nestling from Box 29-1 H 2016,Nestling from Box 29-1 H 2016; NOT a disperser as bird disappeared from low,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/Black,BLACK PT,0700EE1498,,,67,,F8L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/Grey,BLACK PT,0700EE2A0C,,,67,,F8L,F,,,DEAD IN BOX 55-10 L,,,,BOX 55-10 L,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/B,Y PT,0700EDB90F,,,71,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,BLUE PT,S2740-25585/Grey,0700EDA7DF,,,66,L753,F8L,F,juv,Nestling from Box 27A L 2016,,,,,,,,N,N,Y,,,Y,N,Y,,,,,,,Y F7L 25 AUG,,,
L,1/27/2017,,,O/LB,Y PT,0700ED8B89,,,70,,F8L,,,,Detected at LOW and HIGH arrays F2016/W17,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,1/27/2017,,,O/G,Y PT,0700EDF74B,,,71.5,L687,F3L,M,,,,,,,BOX 25-3 L,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/30/2017,,,O/W,Y PT,0700ED875A,,,69,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/30/2017,,,O/Y,Y PT,0700EE3769,,,70,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,1/30/2017,,,O/Black,Y PT,0700ED8F33,,,71,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/Grey,Y PT,0700EE3513,,10.92 (not @ TOIC),67,L739,F3L,F,,,trapped with 0700EE28B9 8/23/17,,,BOX 37-3 L,,,,N,N,Y,,,N,N,Y,,,,,,,Y- F4L 23 AUG,,,
L,2/24/2017,,,O/B,GREY PT,0700EE3DBD,,,66.5,,F3L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/LB,GREY PT,0700EDDD80,,,72,L776,F3L,M,,,,,,,BOX 22-1 L,,,N,N,N,,,N,N,Y,,,,,,,F2L 11/22; F2L 01/07/18;,,,
L,2/24/2017,,,O/G,GREY PT,0700EDB814,,,72,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/W,GREY PT,0700EE167B,,,73,,F3L,M,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/Y,GREY PT,0700ED8ABC,,,73,L842,F3L,M,,,,,,BOX 25-1 L,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/Black,GREY PT,0700ED8D09,,,68,,F3L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,O/Grey,GREY PT,0700ED8AD1,,,64,,F3L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,W/B,0700EE41BD,,,73,,F3L,M,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,BLUE PT,W/LB,0700EE009C,,,71,L686,F3L,F,,,,,,,BOX 15 L,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,W/G,0700EE358E,,,66,,F3L,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,W/O,0700EE28A0,,,68,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,Y-3/1 F3L,,
L,2/24/2017,,,BLUE PT,W/Y,0700EE2F22,,,66,,F3L,F,,,,,,,,,,N,N,N,,,N,N,N,,,,,,Y - Sagehen Banding Station 6/18,,,,
L,2/24/2017,,,BLUE PT,W/Black,0700EE4486,,,71,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,W/Grey,0700EE3FCF,,,68,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/B,0700EDF3E1,,,68,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/LB,030001C291,,,68,,F3L,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/G,0700EDE83C,,,68.5,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/O,0700EE4247,,,67,,F3L,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/Y,0700EDD1AC,,,68,,F3L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLACK PT,W/Black,0700EDF2C1,,,67,L718; L781,F3L,F,,,,,BOX 12 L,BOX 12 L,BOX 12 L,,,N,N,Y,,,N,N,Y,,,,,,,F1L 11/22;,,,
L,2/24/2017,,,BLACK PT,W/Grey,0700EDEF7F,,,67,,F3L,F,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,Y PT,W/B,0700EDDCBB,,,65,L688,F3L,F,,,,,BOX 25-1 L,BOX 25-2 L,BOX 25-3 L,,,N,N,Y,,,N,N,Y,,,,,,,F3L 04/13,,,
L,2/24/2017,,,Y PT,W/LB,0700EE1A36,,,72,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,Y PT,W/G,0700EE0244,,,67,,F8L,F,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,Y PT,W/O,0700ED8728,,,73,,F8L,M,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,G/S2740-25674,0700ED9D6D,,,69,,F8L,,juv,Nestling from Box 16 L 2016,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,Y PT,W/Y,0700EE2C92,,,67,,F8L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,Y PT,W/Black,0700EDBAE2,,,69,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,Y PT,W/Grey,0700EE0DF6,,,69,,F8L,M,,,,,,,BOX 78 L,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/B,0700EE170F,,,68,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/LB,0700EDAFF2,,,69.5,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/G,0700EE4105,,,71,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/O,0700EE2B72,,,66,,F8L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/Y,0700EDD7A1,,,68,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/Black,0700ED902B,,,68.5,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,GREY PT,W/Grey,0700EDEEC9,,,70,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/B,BLUE PT,0700EDE8B8,,,69.5,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/LB,BLUE PT,0700EDC59A,,,68.5,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/G,BLUE PT,0700EDD4B1,,,66,,F8L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/O,BLUE PT,0700ED9191,,,67,,F8L,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/Y,BLUE PT,0700ED8952,,,71.5,,F8L,,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,W/Black,BLUE PT,0700EE1DB1,,,67,,F8L,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,BLUE PT,LB/S2170-30231,0700EDE577,,,71.5,,F8L,,,,not our bird! Awaiting info from USGS,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/Grey,BLUE PT,0700EDF0AC,,,72,L719,F8L,M,,,,,,,BOX 59 L,,,N,N,Y,,,N,N,Y,,,,,,,F9L 12/1,,,
L,2/24/2107,,,W/B,BLACK PT,0700EDC236,,,73,,F8L,M,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/LB,BLACK PT,030001A6D3,,,70,,F8L,,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/G,BLACK PT,0700EE400E,,,75,,F8L,M,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,2/24/2017,,,W/O,BLACK PT,0700EE0930,,,72,,F8L,,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/Y,BLACK PT,0700EDE0FB,,,67,,F8L,F,,,,,,,,,,N,N,N,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/Black,BLACK PT,0700EDD133,,,66,,F8L,F,,,,,,,,,,N,N,Y,,,N,N,Y,,,,,,,,,,
L,2/24/2017,,,W/Grey,BLACK PT,0700EDB934,,,73,,F8L,M,,,,,,,,,,N,N,N,,,N,N,N,,,,,,,,,,
L,3/1/2017,,,W/B,Y PT,0700EDE7CE,,,67,,F3L,F,,,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,W/LB,Y PT,0700EDAC2D,,,69.5,,F3L,,,,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,W/G,Y PT,0700ED89CE,,,70,L705,F3L,M,,,,,,BOX 49-1 L,BOX 47 L,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,Y PT,LB/S2740-25528,0700EDBDB7,,,70,,F3L,,juv,Nestling from Box 42 L 2016,,,,,,,,N,N,N,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,W PT,S2740-25580/B,011017A580,,,70.5,,F3L,,juv,Nestling from Box 40 L 2016,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,W/O,Y PT,0700EDBA06,,,72,,F3L,,,,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,W/Y,Y PT,0700EE2618,,,70,,F3L,,,,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,3/1/2017,,,Y PT,LB/B,0700EDF2D8,,,68.5,,F3L,,,,,,,,,,,N,N,N,,,N,,N,,,,,,,,,,
L,3/1/2017,,,Y PT,LB/G,0700EDC0C5,,,,L678,F3L,M,,,,,BOX 19 L,BOX 19 L,BOX 19 L,,,N,N,N,,,N,,Y,,,,,F1L 09/23,,,,,
L,3/1/2017,,,Y PT,LB/Y,0700EE206A,,,69.5,,F3L,,,,,,,,,,,N,N,N,,,N,,N,,,,,,,,,,
L,3/1/2017,,,Y PT,LB/W,0700EDD530,,,70.5,,F3L,,,,,,,,,,,N,N,Y,,,N,,Y,,,,,,,,,,
L,6/3/2017,,,W/B,GREY PT,0700ED8AE7,,,70.5,L679,BOX 4 L,M,adult,,,,BOX 4 L,Box 5 L,BOX 4 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/3/2017,,,W/LB,GREY PT,0700EDCE52,,,70,L680,BOX 22-3 L,F,adult,,,,,,BOX 22-3 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/3/2017,,,W/G,GREY PT,0700ED969A,,,70,L681,BOX 22-3 L,M,adult,,,,,BOX 22-4 L,BOX 22-3 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/3/2017,,,W/O,GREY PT,0700EDA997,,,73,L683,BOX 22-2 L,M,adult,,,,,BOX 22-1 L,BOX 22-2 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/3/2017,,,W/Y,GREY PT,0700EE3C99,,,67,L685,BOX 62-1 L,F,adult,,,,,,BOX 62-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/13/2017,,,B PT,B/S2720-43481,0700EE4308,,,71,SHL_157; L689,BOX 65 L,M,adult,From F5L 2013 for Genomics study,,y- genomics study,,BOX 37-3 L,BOX 45 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/13/2017,,,W/Black,GREY PT,0700EE3C64,,,68,L690,BOX 45 L,F,adult,,,,,,BOX 45 L,,,N,N,,,,N,,,,,,,,,F5L 11/22;,,,
L,6/19/2017,,,W/Grey,GREY PT,0700EE34AD,,,68,L691,BOX 39-3 L,M,adult,,,,BOX 39-3 L,BOX 43-3 L,BOX 39-3 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/19/2017,,,BLUE PT,LB/B,0700EDB08A,,,69,L696,BOX 56 L,M,adult,,,,,,BOX 56 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/19/2017,,,BLUE PT,LB/G,0300022078,,,64,L697,BOX 56 L,F,adult,,,,BOX 55-1 L,BOX 51-1 L,BOX 56 L,,,N,N,,,,Y,,,,,,,,F8L 04/01,,,,
L,6/20/2017,,,BLUE PT,LB/O,0700EE00D6,,,72.5,L698,BOX 8 L,M,adult,,,,BOX 8 L,BOX 8 L,BOX 8 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/20/2017,,,BLUE PT,LB/Y,0700EE1406,,,70,L700,BOX 10 L,M,adult,,,,BOX 15 L,BOX 15 L,BOX 10 L,,,N,N,,,,N,,,,,,,,,F1L 11/22;,,,
L,6/20/2017,,,BLUE PT,LB/W,0700EDE71E,,,65.5,L702; L858,BOX 23-1 L,F,adult,,Deceased 9/19/18; abnormally large hemotoma @ F2L,,,BOX 23 L,BOX 23-1 L,,,N,N,,,,N,,,,,,,,,F2L 01/07/18;,,,
L,6/20/2017,,,B PT,Grey/S2740-25809,0700EE369E,,,65,L704; L757,BOX 43-3 L,F,adult,Nestling from Box 70 L 2016,,,,BOX 43-1 L,BOX 43-3 L,,,N,N,,,,N,,,,,,,,,Y F6L Aug 25,,,
L,6/20/2017,,,BLUE PT,LB/Black,0700EDF072,,,67,L706,BOX 47 L,F,adult,,,,,,BOX 47 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/20/2017,,,BLUE PT,LB/Grey,030001C22F,,,70,L707,BOX 67-1 L,M,adult,,,,,,BOX 67-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/20/2017,,,BLACK PT,LB/B,0700ED98B4,,,68.5,L708,BOX 67-1 L,F,adult,,,,,BOX 67-1 L,BOX 67-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/20/2017,,,BLACK PT,S2720-43627/G,0700EE43BC,,,70,L709,BOX 43-3 L,M,adult,Nestling from Box 33 L 2014,,,,BOX 45 L,BOX 43-3 L,,,N,N,,,,N,,,,,,,,,F5L 12/15,,,
L,6/22/2017,,,BLACK PT,LB/O,0700EE455A,,,63,L711,BOX 55-1 L,F,adult,,,,BOX 58-2 L,BOX 58 L,BOX 55-1 L,,,N,N,,,,Y,,,,,,,,F8L 03/24 tail feather taken,,,,
L,6/22/2017,,,BLACK PT,LB/Y,0700EE2372,,,70,L712,BOX 87A L,M,adult,,,,,,BOX 87A L,,,N,N,,,,N,,,,,,,,,,,,
L,6/22/2017,,,BLACK PT,LB/W,0700ED8EFD,,,66,L713,BOX 87A L,F,adult,,,,,,BOX 87A L,,,N,N,,,,N,,,,,,,,,,,,
L,6/22/2017,,,BLACK PT,LB/Black,0700EDAD20,,,70,L714,BOX 94 L,M,adult,,,,,BOX 96 L,BOX 94 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/22/2017,,,BLACK PT,LB/Grey,0700ED90EB,,,72,L715,BOX 96 L,M,adult,,,,BOX 94 L,BOX 94 L,BOX 96 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/22/2017,,,Y PT,LB/Grey,0700EE3D48,,,67,L716,BOX 96 L,F,adult,,,,BOX 94 L,BOX 94 L,BOX 96 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/23/2017,,,GREY PT,LB/B,0700EE1CDF,,,66,L720,BOX 59 L,F,adult,,,,BOX 64 L,BOX 58-3 L,BOX 59 L,,,Y,N,,,,Y,,,,,,,,"F6L 10/22, F8L 04/01",,,,
L,6/23/2017,,,BLUE PT,S2740-25578/Black,0700EDDDAF,,,66,L721; L766,BOX 68 L,F,adult,Nestling from Box 40 L 2016,,,BOX 64B-2 L,BOX 65-1 L,BOX 68 L,,,N,N,,,,Y,,,,,,,F9L 09/06,,F9L 10/30; F9L 12/11;,,,
L,6/23/2017,,,GREY PT,LB/G,0700EDDA07,,,68,L722; L765,BOX 68 L,M,adult,,,,BOX 68 L,BOX 65-1 L,BOX 68 L,,,Y,N,,,,Y,,,,,,,F9L 8/30,,Y F9L Aug 30,,,
L,6/23/2017,,,GREY PT,LB/O,0700EDF31D,,,65.5,L723; L752,BOX 53-1 L,F,adult,,,,,,BOX 53-1 L,,,N,N,,,,N,,,,,,,,,Y F7L Aug 23,,,
L,6/23/2017,,,GREY PT,LB/Y,0700ED99B4,,,66,L724,BOX 26 L,F,adult,,,,BOX 27A L,BOX 27A L,BOX 26 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/23/2017,,,GREY PT,LB/W,0700ED88B3,,,71,L725,BOX 83 L,M,adult,,,,BOX 82 L,BOX 83 L,BOX 83 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/27/2017,,,GREY PT,LB/Black,0700EDB269,,,65.5,L727,BOX 65 L,F,adult,,,,,,BOX 65 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/27/2017,,,GREY PT,LB/Grey,0700EDF0A1,,,69,L729,BOX 84 L,M,adult,,,,,BOX 90A L,BOX 84 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/29/2017,,,LB/B,BLUE PT,0700EDDCB3,,,66,L730,BOX 84-1 L,F,adult,,,,BOX 87 L,BOX 86 L,BOX 84-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,6/29/2017,,,LB/G,BLUE PT,0700ED9885,,,69,L731,BOX 65 L,M,adult,,,,,,BOX 65 L,,,N,N,,,,N,,,,,,,,,,,,
L,7/2/2017,,,B PT,Black/S2740-25521,030002EB78,,,68.5,L732,BOX 79 L,M,adult,Nestling from Box IF5 L 2016,,,,BOX 72 L,BOX 79 L,,,N,N,,,,N,,,,,,,,,,,,
L,7/2/2017,,,GREY PT,S2740-25613/W,0700EDA87B,,,66,L733,BOX 79 L,F,adult,Nestling from Box 48 L 2016,,,BOX 73 L,BOX 72 L,BOX 79 L,,,N,N,,,,N,,,,,,,,,,,,
L,7/4/2017,,,LB/O,BLUE PT,0700ED89B7,,,68,L734,BOX 69-1 L,F,adult,,,,,BOX 71 L,BOX 69-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,7/6/2017,,,W,W PT,011017A296,,,69,L736,BOX 84-1 L,M,adult,,,,BOX 87 L,BOX 89 L,BOX 84-1 L,,,N,N,,,,N,,,,,,,,,,,,
L,7/19/2017,,,LB/Y,BLUE PT,0700ED8F56,,,70,L737,BOX 76 L RENEST,M,adult,,,,,,BOX 76 L,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,GREY PT,S2820-13423/O,0700EE3464,,11,70,L740,F4L,,juv,Nestling from Box 47-1 L (SECOND NEST) 2017,Little blood ,,,,,,,N,N,,,,N,,,,,,,,,Y F6L Aug 25,,,
L,8/23/2017,,,LB/W,BLUE PT,0700EDAA04,,11.48,71,L741,F4L,M,juv,,JUV @ TOIC,,,BOX 37-2 L,,,,N,N,,,,N,,,,,,,,,F5L 01/07/18;,,,
L,8/23/2017,,,LB/Black,BLUE PT,0700EDA716,0700EE078D,11.35,71,L742,F4L,M,juv,,JUV,,BOX 37 L,BOX 37-1 L,,,,N,N,,,,N,,,,,,,F5L 08/26,,,,,
L,8/23/2017,,,GREY PT,S2740-25963/LB,0700EDD533,,11.78,69,L743,F4L,,juv,S banded as chick box 22-3 L 2017,juv,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,LB/Grey,BLUE PT,0700EE1F98,,11.16,66.5,L744,F4L,F,juv,,juv,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,LB/B,BLACK PT,0700EE44E2,,12.03,72,L745,F4L,,juv,,juv,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,LB/G,BLACK PT,0700EE0731,,12.14,75,L746,F5L,M,juv,,juv caught with 0700EDC89F,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,LB/O,BLACK PT,0700EDC89F,,10.84,68,L747,F5L,,juv,,juv,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,GREY PT,S2820-13306/B,0700EDFEE5,,12.31,70,L750,F4L,M,juv,nestling from Box 12 L 2017,,,,BOX 41-3 L,,,,N,N,,,,N,,,,,,,,,,,,
L,8/23/2017,,,GREY PT,S2740-25719/Grey,0700EE3CB7,,12.13,72,L751,F5L,M,adult,nestling from Box 66 L 2016,,,BOX 39-2 L,BOX 39-3 L,,,,N,N,,,,N,,,,,,,,,,,,
L,8/25/2017,,,GREY PT,Y/S2820-13173,0700EDB5B8,,11.68,70,L754,F7L,,juv,nestling from Box 51-1 L 2017,,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/25/2017,,,LB/Y,BLACK PT,0700EE41CF,,12.78,71,L755,F7L,M,,,caught with 0700EDF80E,,,BOX 55-6 L,,,,N,N,,,,N,,,,,,,,,,,,
L,8/25/2017,,,LB/W,BLACK PT,0700EDF80E,,11.25,67,L756,F7L,F,juv,,juv,,,BOX 47-1 L,,,,N,N,,,,N,,,,,,,,,,,,
L,8/30/2017,,,GREY PT,S2820-13206/Black,0700EE39D0,,10.84,65.5,L758,F9L,F,juv,dispers; nestling from Box 55-10 L 2017,,,BOX 62-1 L,BOX 64 L,,,,N,N,,,,N,,,,,,,F9l 8/30,,,,,
L,8/30/2017,,,GREY PT,LB/S2820-13291,0700EDEA4C,,10.5,65,L759,F9L,F,juv,nestling from Box 68 L 2017,,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,8/30/2017,,,GREY PT,Grey/S2820-13167,0700EE38DF,,11.71,70,L760,F9L,M,juv,nestling from Box 51-1 L 2017,paired w/ 0700EDE0C0,,BOX 55-1 L,BOX 55-1 L,,,,Y,N,,,,Y,,,,,,,,F8L 03/24 tail feather taken,F8L 04/13,,,
L,8/30/2017,,,BLACK PT,S2820-13123/Y,0700ED97C0,,11.85,69,L761,F9L,,juv,nestling from Box 39-2 L 2017,,,,,,,,N,N,,,,N,,,,,,,,,F9L 12/11;,,,
L,8/30/2017,,,BLACK PT,S2820-13311/O,0700EDE0C0,,10.2,67,L762; L859,F8L,F,juv,nestling from Box 26 L 2017,paired w/ 0700EE38DF; pics and feather taken 2018,,BOX 49-1 L,BOX 55-1 L,,,,Y,N,,,,Y,,,,,,,,"F8L 09/19, F8L 03/29",F8L 04/13,,,
L,8/30/2017,,,LB/Black,BLACK PT,0700EDA62A,,12.8,70,L763,F8L,M,,,,,,BOX 61-2 L,,,,N,N,,,,N,,,,,,,,F7L 10/22,,,,
L,8/30/2017,,,LB/Grey,BLACK PT,0700EE2C4F,,12.2,72,L764,F9L,M,,,,,BOX 75 L,,,,,N,N,,,,N,,,,,,,,,,,,
L,9/6/2017,,,BLACK PT,S2820-13317/LB,0700EE4012,,10.7,65.5,L768,F1L,F,juv,nestling from Box 31 L 2017,,,BOX 10 L,,,,,N,N,,,,N,,,,,,,F1L 08/16,,,,,
L,11/22/2017,,,LB/B,Y PT,0700ED8EC8,,,68,L769,F6L,,,,,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/G,Y PT,0700EDAC66,,,69,L770,F6L,,,,,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/O,Y PT,0700ED920A,,,67.5,L771,F6L,,,,small blood sample,,,,,,,N,N,,,,N,,,,,,,,,F6L 01/07/18,,,
L,11/22/2017,,,LB/Y,Y PT,0700EDA5B6,,,70,L772,F6L,,,,,,,,,,,N,N,,,,N,,,,,,,,,F5L 12/15,,,
L,11/22/2017,,,LB/W,Y PT,0700EDD092,,,68,L774,F1L,,,,,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/Black,Y PT,0700EE184C,,,65,L775,F1L,F,,,,F1L 12/1,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/Grey,Y PT,0700EE394B,,,69,L778,F5L,,juv,,JUV,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/B,GREY PT,0700EDCA3E,,,68.5,L779,F5L,,juv,,JUV,,,,,,,N,N,,,,N,,,,,,,,,,,,
L,11/22/2017,,,LB/G,GREY PT,0700EDC70B,,,72,L780,F5L,M,juv,,JUV,,BOX 45 L,,,,,N,N,,,,N,,,,,,,F5L 08/26,,,,,
L,12/1/2017,,,LB/O,GREY PT,0700EE1F4A,,,70.5,L782,F9L,M,adult,,ADULT; pics and feathers taken 2018,,BOX 65-1 L,,,,,Y,N,,,,Y,,,,,,,,"F9L 10/22, F8L 04/01",,,,
L,12/1/2017,,,LB/Y,GREY PT,0700EDA3E9,,,68,L783,F1L,,juv,,JUV,,,,,,,N,N,,,,N,,,,,,,,,,,,
